StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Age,Genre,Education,Groupe,BEJEDI08_1,BEJEDI08_L_1,BEJEDI08_L_2,BEJEDI08_L_3,BEJEDI08_L_4,BEJEDI08_L_5,MAANAU12_1,MAANAU12_L_1,MAANAU12_L_2,MAANAU12_L_3,MAANAU12_L_4,MAANAU12_L_5,ANJETI02_1,ANJETI02_L_1,ANJETI02_L_2,ANJETI02_L_3,ANJETI02_L_4,ANJETI02_L_5,CLCHJO01_1,CLCHJO01_L_1,CLCHJO01_L_2,CLCHJO01_L_3,CLCHJO01_L_4,CLCHJO01_L_5,RIRO12_1,RIRO12_L_1,RIRO12_L_2,RIRO12_L_3,RIRO12_L_4,RIRO12_L_5,SAERBE09_1,SAERBE09_L_1,SAERBE09_L_2,SAERBE09_L_3,SAERBE09_L_4,SAERBE09_L_5,SADJSO02_1,SADJSO02_L_1,SADJSO02_L_2,SADJSO02_L_3,SADJSO02_L_4,SADJSO02_L_5,COHEIG03_1,COHEIG03_L_1,COHEIG03_L_2,COHEIG03_L_3,COHEIG03_L_4,COHEIG03_L_5,VEYVEM11_1,VEYVEM11_L_1,VEYVEM11_L_2,VEYVEM11_L_3,VEYVEM11_L_4,VEYVEM11_L_5,RIRO12_1,RIRO12_L_1,RIRO12_L_2,RIRO12_L_3,RIRO12_L_4,RIRO12_L_5,Vie,Habitudes_1,Habitudes_2,Habitudes_3,Habitudes_4,Habitudes_5,Habitudes_6,Participation,Attention
Date de commencement,Date de fin,Type de réponse,Progrès,Durée (en secondes),Terminé,Date enregistrée,Identifiant de la réponse,Canal de distribution,Langue de l'utilisateur,Q_RecaptchaScore,Veuillez indiquer votre âge en chiffre (ex. 20),Veuillez indiquer votre genre,Veuillez indiquer votre niveau d'éducation,"Avant de commencer la lecture des récits, vous allez être assigné·e à un groupe. Veuillez s'il-vous-plaît cocher la réponse qui s'affiche ci-dessous :","Sur une échelle de 1 à 6, comment avez-vous trouvé l'histoire que vous venez de lire ? - Comment avez-vous trouvez cette histoire ?",Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire divertissante ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire chargée émotionellement ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a marqué(e) ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire originale ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a captivé(e) ?,"Sur une échelle de 1 à 6, comment avez-vous trouvé l'histoire que vous venez de lire ? - Comment avez-vous trouvez cette histoire ?",Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire divertissante ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire chargée émotionellement ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a marqué(e) ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire originale ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a captivé(e) ?,"Sur une échelle de 1 à 6, comment avez-vous trouvé l'histoire que vous venez de lire ? - Comment avez-vous trouvez cette histoire ?",Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire divertissante ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire chargée émotionellement ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a marqué(e) ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire originale ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a captivé(e) ?,"Sur une échelle de 1 à 6, comment avez-vous trouvé l'histoire que vous venez de lire ? - Comment avez-vous trouvez cette histoire ?",Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire divertissante ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire chargée émotionellement ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a marqué(e) ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire originale ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a captivé(e) ?,"Sur une échelle de 1 à 6, comment avez-vous trouvé l'histoire que vous venez de lire ? - Comment avez-vous trouvez cette histoire ?",Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire divertissante ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire chargée émotionellement ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a marqué(e) ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire originale ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a captivé(e) ?,"Sur une échelle de 1 à 6, comment avez-vous trouvé l'histoire que vous venez de lire ? - Comment avez-vous trouvez cette histoire ?",Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire divertissante ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire chargée émotionellement ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a marqué(e) ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire originale ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a captivé(e) ?,"Sur une échelle de 1 à 6, comment avez-vous trouvé l'histoire que vous venez de lire ? - Comment avez-vous trouvez cette histoire ?",Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire divertissante ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire chargée émotionellement ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a marqué(e) ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire originale ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a captivé(e) ?,"Sur une échelle de 1 à 6, comment avez-vous trouvé l'histoire que vous venez de lire ? - Comment avez-vous trouvez cette histoire ?",Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire divertissante ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire chargée émotionellement ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a marqué(e) ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire originale ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a captivé(e) ?,"Sur une échelle de 1 à 6, comment avez-vous trouvé l'histoire que vous venez de lire ? - Comment avez-vous trouvez cette histoire ?",Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire divertissante ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire chargée émotionellement ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a marqué(e) ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire originale ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a captivé(e) ?,"Sur une échelle de 1 à 6, comment avez-vous trouvé l'histoire que vous venez de lire ? - Comment avez-vous trouvez cette histoire ?",Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire divertissante ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire chargée émotionellement ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a marqué(e) ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Avez-vous trouvé cette histoire originale ?,Merci de répondre aux questions suivantes concernant l'histoire que vous venez de lire : - Est-ce que cette histoire vous a captivé(e) ?,Avez-vous déjà vécu une situation similaire aux personnages décrits dans ces histoires ?,"Selon vous, à quelle fréquence êtes-vous en contact avec des histoires dans votre vie de tous les jours (lecture, films, vidéos YouTube, histoires orales...) - Livres","Selon vous, à quelle fréquence êtes-vous en contact avec des histoires dans votre vie de tous les jours (lecture, films, vidéos YouTube, histoires orales...) - Livres audio/podcasts","Selon vous, à quelle fréquence êtes-vous en contact avec des histoires dans votre vie de tous les jours (lecture, films, vidéos YouTube, histoires orales...) - Télévision (émissions, films...)","Selon vous, à quelle fréquence êtes-vous en contact avec des histoires dans votre vie de tous les jours (lecture, films, vidéos YouTube, histoires orales...) - Réseaux sociaux (Whats'App, Instagram, Youtube...)","Selon vous, à quelle fréquence êtes-vous en contact avec des histoires dans votre vie de tous les jours (lecture, films, vidéos YouTube, histoires orales...) - Jeux vidéos","Selon vous, à quelle fréquence êtes-vous en contact avec des histoires dans votre vie de tous les jours (lecture, films, vidéos YouTube, histoires orales...) - Histoires orales",Avez-vous pris part à l'expérience décrite dans cette étude qui consistait à raconter une histoire ?,"Pour terminer, vous allez lire une brève description d'une histoire. Veuillez prendre votre temps pour lire attentivement chaque mot, car votre réponse à cette question est très importante pour nous. Imaginez une histoire où un personnage principal fait face à un dilemme moral complexe. Le personnage doit choisir entre aider un ami en difficulté ou poursuivre son propre rêve, sachant que l'une ou l'autre des décisions aura des conséquences importantes. Après avoir lu cette description, sélectionnez la réponse qui mentionne un animal noir pour montrer que vous avez bien compris le contexte de l'histoire."
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29""}","{""ImportId"":""QID36""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID25_4""}","{""ImportId"":""QID25_5""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID69_2""}","{""ImportId"":""QID69_3""}","{""ImportId"":""QID69_4""}","{""ImportId"":""QID69_5""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID71_2""}","{""ImportId"":""QID71_3""}","{""ImportId"":""QID71_4""}","{""ImportId"":""QID71_5""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID73_2""}","{""ImportId"":""QID73_3""}","{""ImportId"":""QID73_4""}","{""ImportId"":""QID73_5""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID75_2""}","{""ImportId"":""QID75_3""}","{""ImportId"":""QID75_4""}","{""ImportId"":""QID75_5""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID77_2""}","{""ImportId"":""QID77_3""}","{""ImportId"":""QID77_4""}","{""ImportId"":""QID77_5""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID79_2""}","{""ImportId"":""QID79_3""}","{""ImportId"":""QID79_4""}","{""ImportId"":""QID79_5""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID81_2""}","{""ImportId"":""QID81_3""}","{""ImportId"":""QID81_4""}","{""ImportId"":""QID81_5""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID83_2""}","{""ImportId"":""QID83_3""}","{""ImportId"":""QID83_4""}","{""ImportId"":""QID83_5""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID85_2""}","{""ImportId"":""QID85_3""}","{""ImportId"":""QID85_4""}","{""ImportId"":""QID85_5""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_5""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_6""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID24""}","{""ImportId"":""QID15""}"
2024-09-17 16:53:32,2024-09-17 17:28:37,0,100,2104,1,2024-09-17 17:28:38,R_1pRsM5WrRwgS42Z,anonymous,FR,0.5,45,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,3,4,5,4,4,3,2,3,5,4,4,4,4,4,5,4,5,4,4,4,4,4,4,3,3,3,1,6,1,5,5,1,2,2,3
2024-09-17 19:24:35,2024-09-17 19:42:36,0,100,1081,1,2024-09-17 19:42:37,R_2wEydEX2sNfhtcb,anonymous,FR,0.699999988079071,27,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,3,2,5,4,4,4,4,3,3,4,3,3,3,3,5,4,4,4,4,4,3,3,2,3,3,2,1,5,2,6,6,1,5,1,3
2024-09-18 14:38:11,2024-09-18 15:45:52,0,100,4061,1,2024-09-18 15:45:53,R_1eRApYvSSmJnWNh,anonymous,FR,1,23,2,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,3,2,3,4,4,3,3,4,4,5,5,4,4,3,5,5,4,4,4,4,4,4,4,3,3,4,3,2,2,1,6,5,5,6,2,3
2024-09-23 10:08:14,2024-09-23 10:23:29,0,100,915,1,2024-09-23 10:23:30,R_1IhH5UBO39aR8Lp,anonymous,FR,1,23,2,5,1,3,3,4,4,3,3,3,2,4,3,4,3,3,3,3,2,3,2,2,1,2,2,2,1,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,5,6,5,5,1,3
2024-09-23 20:58:20,2024-09-23 21:44:47,0,100,2786,1,2024-09-23 21:44:47,R_1lxyyHO4ddZXqoO,anonymous,FR,1,56,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,2,4,3,4,4,4,3,3,3,4,3,3,2,3,3,4,3,3,3,3,2,3,2,3,2,2,2,2,5,6,1,5,2,3
2024-09-24 13:44:41,2024-09-24 14:05:51,0,100,1269,1,2024-09-24 14:05:52,R_qEK6777rYBNM2l3,qr,FR,0.30000001192092896,64,1,7,1,4,4,4,3,4,4,3,2,3,3,3,2,2,2,3,2,2,2,1,1,1,1,1,1,3,3,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,3,2,1,2,2,2
2024-09-24 17:43:48,2024-09-24 18:10:07,0,100,1578,1,2024-09-24 18:10:07,R_2zV10KEc0V6GN4A,anonymous,FR,1,59,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,4,2,2,4,4,4,4,2,3,3,2,4,4,2,2,3,2,3,2,2,2,3,2,4,4,2,2,1,3,1,4,3,1,3,2,3
2024-09-24 20:23:33,2024-09-24 20:58:36,0,100,2102,1,2024-09-24 20:58:36,R_2v2iTbrkYRHmx90,qr,FR,0.10000000149011612,31,2,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,4,3,3,2,2,3,3,2,3,2,1,2,2,3,2,2,1,2,3,2,2,2,2,1,2,6,3,4,5,1,6,2,3
2024-09-25 11:34:07,2024-09-25 12:40:24,0,100,3977,1,2024-09-25 12:40:24,R_31FVQL8XY4z2EAT,anonymous,FR,1,33,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,4,3,4,6,5,5,5,5,5,5,3,3,3,3,3,6,4,5,4,4,4,5,2,5,4,3,4,2,2,1,5,5,1,1,1,3
2024-09-25 19:42:56,2024-09-25 20:15:05,0,100,1928,1,2024-09-25 20:15:06,R_1mg6QjsIo1EXUoB,anonymous,FR,1,63,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,3,1,2,1,1,1,1,1,1,2,1,2,1,1,1,3,3,3,1,1,2,3,3,4,2,1,2,1,5,1,6,5,1,2,2,3
2024-09-25 20:28:42,2024-09-25 20:34:37,0,100,354,1,2024-09-25 20:34:37,R_2atqEmjSVAfop4O,anonymous,FR,1,27,1,8,1,3,1,2,2,2,3,3,3,3,2,3,2,4,2,2,3,4,2,4,2,2,2,3,3,3,3,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,5,6,1,2,1,1
2024-09-30 17:43:01,2024-09-30 18:54:45,0,100,4304,1,2024-09-30 18:54:46,R_1CkioUisYhmtRyC,anonymous,FR,1,39,2,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,3,4,3,4,4,4,2,3,2,2,2,2,2,4,4,3,3,3,3,3,2,3,3,3,2,1,1,1,4,6,1,1,2,3
2024-10-02 18:45:26,2024-10-02 20:11:37,0,100,5170,1,2024-10-02 20:11:37,R_3k6RXxOgDHt5ew2,anonymous,FR,0.20000000298023224,46,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,5,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,2,4,4,3,4,1,1,1,2,2,1,2,2,2
2024-10-02 19:57:50,2024-10-02 20:35:19,0,100,2249,1,2024-10-02 20:35:20,R_Rshi7TKsTkdaWNb,anonymous,FR,1,31,1,7,1,5,4,5,5,3,4,2,2,3,2,2,2,1,1,3,1,1,1,3,3,5,3,3,3,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,5,6,1,4,2,3
2024-10-09 18:20:13,2024-10-09 18:54:42,0,100,2069,1,2024-10-09 18:54:42,R_1nPHZHFrsOgboYh,anonymous,FR,1,23,1,5,1,1,1,3,2,3,1,3,2,3,3,3,2,2,1,2,2,4,2,2,2,1,2,2,2,3,2,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,5,5,3,5,1,3
2024-10-10 12:47:45,2024-10-10 12:51:00,0,100,195,1,2024-10-10 12:51:01,R_3ixwobFSM0FId09,anonymous,FR,0.5,24,2,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,2,4,4,3,2,3,3,3,3,3,3,4,3,3,3,3,3,2,2,3,4,3,3,2,3,4,4,2,2,5,1,3
2024-10-16 12:06:46,2024-10-16 16:47:01,0,100,16814,1,2024-10-16 16:47:02,R_25svhpWtYZ0VUtt,anonymous,FR,1,23,3,5,1,5,4,5,4,3,4,3,3,5,3,3,3,4,3,5,3,3,3,3,4,5,4,3,3,4,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,4,6,3,6,1,3
2024-10-17 11:41:52,2024-10-17 12:08:07,0,100,1575,1,2024-10-17 12:08:08,R_2X4inIfc9PSH4Ta,anonymous,FR,1,27,2,7,1,1,2,2,2,3,4,4,2,2,4,3,2,3,3,4,3,2,3,5,2,2,3,3,2,6,1,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,4,3,3,2,2,3
2024-10-18 15:01:21,2024-10-18 15:42:58,0,100,2497,1,2024-10-18 15:42:59,R_1hYCc0ZUXJcqxNk,qr,FR,1,27,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,3,1,4,3,3,3,3,2,2,1,2,2,1,1,4,4,3,3,3,3,3,2,1,1,2,2,1,6,2,6,5,1,6,2,3
2024-10-18 16:47:37,2024-10-18 17:00:56,0,100,799,1,2024-10-18 17:00:57,R_3fiYvgTpBid6ygn,anonymous,FR,1,31,1,3,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,5,6,2,6,2,3
2024-10-19 09:11:04,2024-10-19 09:28:06,0,100,1022,1,2024-10-19 09:28:07,R_2R9OGqxUnmPgUz0,anonymous,FR,1,22,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,6,4,5,1,4
2024-10-22 18:38:26,2024-10-22 19:19:23,0,100,2457,1,2024-10-22 19:19:24,R_1FnbWuT1IGWVP25,anonymous,FR,0.699999988079071,24,2,7,1,5,4,5,4,5,5,4,3,4,3,2,2,4,1,5,3,3,2,1,1,1,1,2,1,2,1,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,5,3,1,6,2,3
2024-10-24 10:40:41,2024-10-24 11:29:58,0,100,2956,1,2024-10-24 11:29:59,R_2tgR72QbowzIk1Z,anonymous,FR,1,42,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,2,2,6,5,5,5,5,5,2,1,1,1,1,1,2,2,1,2,2,1,3,2,1,2,3,1,1,6,4,3,6,2,3,2,3
2024-10-28 20:05:14,2024-10-28 20:52:45,0,100,2850,1,2024-10-28 20:52:46,R_O7GxIbzmhjPMcQV,anonymous,FR,0.699999988079071,33,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,4,4,5,4,3,3,4,4,4,3,3,3,4,4,3,3,2,2,3,2,2,2,1,1,3,1,2,6,1,5,6,6,1,1,3
2024-11-18 15:07:36,2024-11-18 16:45:49,0,100,5893,1,2024-11-18 16:45:50,R_1qaMdOdf1qeEZai,qr,FR,1,20,1,2,1,6,5,4,5,4,5,4,4,4,4,5,3,5,4,4,4,4,4,4,3,2,2,3,3,5,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,5,5,1,5,2,3
2024-11-18 16:47:42,2024-11-18 17:16:34,0,100,1732,1,2024-11-18 17:16:35,R_eEfOvVEKAovhUSR,qr,FR,0.5,18,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,2,4,4,4,5,3,3,4,2,2,2,2,2,1,4,4,4,3,4,4,3,3,2,3,2,2,2,6,3,5,6,2,5,2,3
2024-12-19 09:32:51,2024-12-19 09:49:50,0,100,1019,1,2024-12-19 09:49:51,R_2EuRQ0twxqcmhAz,anonymous,FR,0.6000000238418579,25,2,5,1,3,3,4,3,4,2,5,3,4,4,2,3,2,1,3,2,2,1,2,1,1,1,2,2,3,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,3,6,3,5,2,3
